saussure1	1	독해(비문학) Day 1	오늘 민수는 쉬는 시간에 학교 도서관에서 책을 빌리기로 했어요.책을 고르기 전에 먼저 빌린 책을 넣을 가방 자리가 있는지 살펴요.그래야 새 책이 구겨지지 않고 다른 준비물과도 덜 부딪혀요.책장을 볼 때는 읽고 싶은 
saussure1	2	독해(문학) Day 2	지우는 교실 뒤 전시판 앞에서 운동회 그림을 붙이고 있었어요.세나는 종이띠 상자를 들고 오다가 책상 모서리에 살짝 부딪혔어요.그 바람에 마지막에 붙일 파란 종이띠 조각 하나가 바닥으로 미끄러졌어요.지우는 빈 자리가 
saussure1	3	독해(비문학) Day 3	아침에 교실에 들어오면 먼저 실내화를 갈아신을 자리를 차분히 살펴요.신발장 앞에 가방이나 긴 끈이 놓여 있으면 발이 걸릴 수 있어요.그래서 발을 들이기 전에 바닥이 비었는지 먼저 보고 움직여요.벗은 운동화는 한 짝씩
saussure1	4	독해(문학) Day 4	하린은 복도 게시판 앞에서 운동회 초대장을 붙이고 있었어요.민재가 색지 상자를 들고 오다가 게시판 받침을 살짝 건드렸어요.그 바람에 마지막에 붙일 빨간 깃발 조각 하나가 바닥으로 떨어졌어요.하린은 빈 자리가 남은 것
saussure1	5	독해(비문학) Day 5	미술 시간에 물감을 쓰기 전에는 먼저 책상 위에 둘 자리를 차분히 살펴요.물감통과 붓컵을 너무 가까이 두면 팔이 스치며 물이 쏟아질 수 있어요.그래서 종이는 가운데 두고 물감통은 한쪽으로 살짝 띄워 놓아요.붓을 적실
saussure1	6	독해(문학) Day 6	유나는 교실 뒤 달력판 앞에서 봄 행사 그림을 붙이고 있었어요.도윤이 숫자 상자를 들고 오다가 의자 끝에 살짝 걸렸어요.그 바람에 마지막에 붙일 초록 잎 조각 하나가 바닥으로 떨어졌어요.유나는 빈 칸이 보여 손에 들
saussure1	7	독해(비문학) Day 7	비 오는 날 교실에 들어오면 먼저 우산 끝 물기를 살펴야 해요.젖은 우산을 책상 옆에 눕혀 두면 바닥에 물줄기가 생겨 발이 미끄러질 수 있어요.그래서 우산은 문 옆 우산통이나 약속한 자리에 세워 두는 편이 좋아요.우
saussure1	8	독해(문학) Day 8	수민은 교실 뒤 발표판 앞에서 반 이름 꾸미기 종이를 붙이고 있었어요.현우가 색종이 상자를 들고 오다가 책상 모서리에 살짝 걸렸어요.그때 마지막에 붙일 파란 리본 조각 하나가 바닥으로 미끄러졌어요.수민은 빈 줄이 보
saussure1	9	독해(비문학) Day 9	분리배출을 할 때는 먼저 버릴 것이 무엇인지 차분히 살펴봐요.종이, 캔, 플라스틱처럼 다시 쓰일 수 있는 것은 따로 모아 두는 편이 좋아요.하지만 안에 음식물이나 국물이 남아 있으면 다른 것까지 더럽힐 수 있어요.그
saussure1	10	독해(문학) Day 10	서윤은 교실 뒤 전시판 앞에서 봄 마을 그림을 차분히 붙이고 있었어요.민재가 색종이 봉투를 들고 오다가 의자 다리에 살짝 걸렸어요.그때 마지막에 붙일 노란 별 조각 하나가 바닥으로 미끄러졌어요.서윤은 빈 자리가 보여
